Open,High,Low,Close,Adj Close,Volume
3143.85009765625,3144.31005859375,3110.780029296875,3113.8701171875,3113.8701171875,3285750000
3087.409912109375,3094.969970703125,3070.330078125,3093.199951171875,3093.199951171875,3671580000
3103.5,3119.3798828125,3102.530029296875,3112.760009765625,3112.760009765625,3702980000
3119.2099609375,3119.449951171875,3103.760009765625,3117.429931640625,3117.429931640625,3360480000
3134.6201171875,3150.60009765625,3134.6201171875,3145.909912109375,3145.909912109375,3483310000
3141.860107421875,3148.8701171875,3135.4599609375,3135.9599609375,3135.9599609375,3400470000
3135.360107421875,3142.1201171875,3126.090087890625,3132.52001953125,3132.52001953125,3346310000
3135.75,3143.97998046875,3133.2099609375,3141.6298828125,3141.6298828125,3257650000
3141.22998046875,3176.280029296875,3138.469970703125,3168.570068359375,3168.570068359375,4003200000
3166.64990234375,3182.679931640625,3156.510009765625,3168.800048828125,3168.800048828125,3757650000
3183.6298828125,3197.7099609375,3183.6298828125,3191.449951171875,3191.449951171875,4070200000
3195.39990234375,3198.219970703125,3191.030029296875,3192.52001953125,3192.52001953125,3842940000
3195.2099609375,3198.47998046875,3191.139892578125,3191.139892578125,3191.139892578125,4029950000
3192.320068359375,3205.47998046875,3192.320068359375,3205.3701171875,3205.3701171875,3784360000
3223.330078125,3225.64990234375,3216.030029296875,3221.219970703125,3221.219970703125,6457480000
3226.050048828125,3227.780029296875,3222.300048828125,3224.010009765625,3224.010009765625,3064530000
3225.449951171875,3226.429931640625,3220.510009765625,3223.3798828125,3223.3798828125,1296530000
3227.199951171875,3240.080078125,3227.199951171875,3239.909912109375,3239.909912109375,2164540000
3247.22998046875,3247.929931640625,3234.3701171875,3240.02001953125,3240.02001953125,2429150000
3240.090087890625,3240.919921875,3216.570068359375,3221.2900390625,3221.2900390625,3021720000
3215.179931640625,3231.719970703125,3212.030029296875,3230.780029296875,3230.780029296875,2894760000
3244.669921875,3258.139892578125,3235.530029296875,3257.85009765625,3257.85009765625,3459930000
3226.360107421875,3246.14990234375,3222.340087890625,3234.85009765625,3234.85009765625,3484700000
3217.550048828125,3246.840087890625,3214.639892578125,3246.280029296875,3246.280029296875,3702460000
3241.860107421875,3244.909912109375,3232.429931640625,3237.179931640625,3237.179931640625,3435910000
3238.590087890625,3267.070068359375,3236.669921875,3253.050048828125,3253.050048828125,3726840000
3266.030029296875,3275.580078125,3263.669921875,3274.699951171875,3274.699951171875,3641230000
3281.81005859375,3282.989990234375,3260.860107421875,3265.35009765625,3265.35009765625,3214580000
3271.1298828125,3288.1298828125,3268.429931640625,3288.1298828125,3288.1298828125,3459390000
3285.35009765625,3294.25,3277.18994140625,3283.14990234375,3283.14990234375,3687620000
3282.27001953125,3298.659912109375,3280.68994140625,3289.2900390625,3289.2900390625,3721490000
3302.969970703125,3317.110107421875,3302.820068359375,3316.81005859375,3316.81005859375,3540580000
3323.659912109375,3329.8798828125,3318.860107421875,3329.6201171875,3329.6201171875,3726220000
3321.030029296875,3329.7900390625,3316.610107421875,3320.7900390625,3320.7900390625,4104840000
3330.02001953125,3337.77001953125,3320.0400390625,3321.75,3321.75,3623780000
3315.77001953125,3326.8798828125,3301.8701171875,3325.5400390625,3325.5400390625,3766710000
3333.10009765625,3333.179931640625,3281.530029296875,3295.469970703125,3295.469970703125,3708780000
3247.159912109375,3258.85009765625,3234.5,3243.6298828125,3243.6298828125,3831050000
3255.35009765625,3285.780029296875,3253.219970703125,3276.239990234375,3276.239990234375,3531570000
3289.4599609375,3293.469970703125,3271.889892578125,3273.39990234375,3273.39990234375,3600250000
3256.449951171875,3285.909912109375,3242.800048828125,3283.659912109375,3283.659912109375,3790350000
3282.330078125,3282.330078125,3214.679931640625,3225.52001953125,3225.52001953125,4529700000
3235.659912109375,3268.43994140625,3235.659912109375,3248.919921875,3248.919921875,3760460000
3280.610107421875,3306.919921875,3280.610107421875,3297.590087890625,3297.590087890625,3996900000
3324.909912109375,3337.580078125,3313.75,3334.68994140625,3334.68994140625,4121480000
3344.919921875,3347.9599609375,3334.389892578125,3345.780029296875,3345.780029296875,3887250000
3335.5400390625,3341.419921875,3322.1201171875,3327.7099609375,3327.7099609375,3733920000
3318.280029296875,3352.260009765625,3317.77001953125,3352.090087890625,3352.090087890625,3462730000
3365.8701171875,3375.6298828125,3352.719970703125,3357.75,3357.75,3762940000
3370.5,3381.469970703125,3369.719970703125,3379.449951171875,3379.449951171875,3930910000
3365.89990234375,3385.090087890625,3360.52001953125,3373.93994140625,3373.93994140625,3500890000
3378.080078125,3380.68994140625,3366.14990234375,3380.159912109375,3380.159912109375,3419700000
3369.0400390625,3375.010009765625,3355.610107421875,3370.2900390625,3370.2900390625,3750400000
3380.389892578125,3393.52001953125,3378.830078125,3386.14990234375,3386.14990234375,3614200000
3380.449951171875,3389.14990234375,3341.02001953125,3373.22998046875,3373.22998046875,4019180000
3360.5,3360.760009765625,3328.449951171875,3337.75,3337.75,3908780000
3257.610107421875,3259.81005859375,3214.64990234375,3225.889892578125,3225.889892578125,4851160000
3238.93994140625,3246.989990234375,3118.77001953125,3128.2099609375,3128.2099609375,5596760000
3139.89990234375,3182.510009765625,3108.989990234375,3116.389892578125,3116.389892578125,5484650000
3062.5400390625,3097.070068359375,2977.389892578125,2978.760009765625,2978.760009765625,7064710000
2916.89990234375,2959.719970703125,2855.840087890625,2954.219970703125,2954.219970703125,8569570000
2974.280029296875,3090.9599609375,2945.18994140625,3090.22998046875,3090.22998046875,6381330000
3096.4599609375,3136.719970703125,2976.6298828125,3003.3701171875,3003.3701171875,6376510000
