Open,High,Low,Close,Adj Close,Volume
8409.8701171875,8409.8701171875,8274.6103515625,8309.259765625,8309.259765625,2240300000
8201.6298828125,8258.400390625,8167.35986328125,8254.740234375,8254.740234375,2318760000
8291.8603515625,8316.4599609375,8285.8798828125,8296.5302734375,8296.5302734375,2158870000
8321.1904296875,8321.1904296875,8272.830078125,8308.400390625,8308.400390625,2133380000
8370.23046875,8405.849609375,8365.25,8397.3701171875,8397.3701171875,2057020000
8388.75,8425.76953125,8359.8701171875,8362.740234375,8362.740234375,2123870000
8364.5498046875,8392.8896484375,8339.3701171875,8354.2900390625,8354.2900390625,2058760000
8371.650390625,8408.080078125,8361.3701171875,8402.6103515625,8402.6103515625,1982080000
8391.919921875,8493.1103515625,8380.08984375,8466.8896484375,8466.8896484375,2396400000
8461.419921875,8517.51953125,8441.8896484375,8487.7099609375,8487.7099609375,2219630000
8544.26953125,8584.7802734375,8542.419921875,8570.330078125,8570.330078125,2368050000
8586.330078125,8592.4501953125,8564.150390625,8575.7001953125,8575.7001953125,2382450000
8587.2001953125,8608.099609375,8578.5595703125,8580.6201171875,8580.6201171875,2742330000
8592.6796875,8642.740234375,8592.6796875,8641.2900390625,8641.2900390625,2446890000
8666.5703125,8687.66015625,8656.48046875,8678.490234375,8678.490234375,3830200000
8703.0595703125,8710.900390625,8690.150390625,8696.009765625,8696.009765625,2028670000
8705.2998046875,8708.2197265625,8684.1201171875,8699.509765625,8699.509765625,1014530000
8717.9501953125,8778.330078125,8716.0302734375,8778.3095703125,8778.3095703125,1639960000
8805.8603515625,8811.099609375,8749.8603515625,8770.98046875,8770.98046875,1833740000
8766.3896484375,8768.2998046875,8671.919921875,8709.73046875,8709.73046875,2051320000
8681.330078125,8735.4296875,8674.3798828125,8733.0703125,8733.0703125,2186830000
8802.2197265625,8873.6298828125,8786.900390625,8872.2197265625,8872.2197265625,2862700000
8755.169921875,8843.650390625,8755.169921875,8793.900390625,8793.900390625,2586520000
8713.8896484375,8849.98046875,8713.8896484375,8848.51953125,8848.51953125,2810450000
8857.1396484375,8872.4697265625,8821.6796875,8846.4501953125,8846.4501953125,2381740000
8845.4501953125,8953.5498046875,8834.9404296875,8912.3701171875,8912.3701171875,2472620000
8990.0400390625,9004.5498046875,8938.5302734375,8989.6298828125,8989.6298828125,2540960000
9021.8798828125,9024.8701171875,8951.830078125,8966.6396484375,8966.6396484375,2382900000
9007.9404296875,9071.5302734375,8991.349609375,9070.650390625,9070.650390625,2536820000
9068.01953125,9080.16015625,9020.919921875,9033.419921875,9033.419921875,2553160000
9039.3095703125,9078.8701171875,9008.9501953125,9035.669921875,9035.669921875,2443220000
9088.080078125,9126.0703125,9066.3095703125,9125.0,9125.0,2312110000
9159.48046875,9176.4697265625,9118.98046875,9173.73046875,9173.73046875,2542540000
9145.6396484375,9187.419921875,9141.7802734375,9166.6298828125,9166.6298828125,2686610000
9212.349609375,9242.48046875,9179.26953125,9188.580078125,9188.580078125,2454580000
9186.1396484375,9221.1298828125,9145.23046875,9216.98046875,9216.98046875,2465850000
9266.349609375,9272.3701171875,9101.4404296875,9141.4697265625,9141.4697265625,2622970000
8913.16015625,9001.4404296875,8910.9697265625,8952.1796875,8952.1796875,2593910000
9013.23046875,9111.3203125,8994.2802734375,9090.9296875,9090.9296875,2169020000
9141.51953125,9153.080078125,9067.2900390625,9101.6103515625,9101.6103515625,2234620000
9038.919921875,9140.6904296875,9019.7197265625,9136.08984375,9136.08984375,2345370000
9169.91015625,9170.2197265625,8961.58984375,8991.509765625,8991.509765625,2696090000
9033.51953125,9148.5,9031.0703125,9126.23046875,9126.23046875,2427320000
9256.9404296875,9352.9599609375,9224.8603515625,9334.0595703125,9334.0595703125,2447340000
9441.33984375,9442.75,9311.8798828125,9367.48046875,9367.48046875,2470240000
9395.6904296875,9448.7197265625,9357.8603515625,9445.919921875,9445.919921875,2313860000
9397.76953125,9453.240234375,9376.91015625,9401.099609375,9401.099609375,2243720000
9373.2001953125,9517.740234375,9373.2001953125,9516.83984375,9516.83984375,2187520000
9567.8095703125,9600.0498046875,9493.6298828125,9517.8603515625,9517.8603515625,2450070000
9569.8203125,9615.91015625,9552.0302734375,9613.2001953125,9613.2001953125,2366510000
9540.669921875,9636.41015625,9532.740234375,9595.7001953125,9595.7001953125,2254870000
9613.8798828125,9634.75,9583.080078125,9623.580078125,9623.580078125,2226720000
9567.2802734375,9647.7197265625,9567.2802734375,9629.7998046875,9629.7998046875,2279420000
9683.9404296875,9736.5703125,9676.0703125,9718.73046875,9718.73046875,2470860000
9696.66015625,9714.23046875,9513.23046875,9627.830078125,9627.830078125,2745730000
9582.5400390625,9594.0,9406.3798828125,9446.6904296875,9446.6904296875,2750160000
9055.2998046875,9194.91015625,9028.8701171875,9079.6298828125,9079.6298828125,3188590000
9167.330078125,9183.7802734375,8807.1103515625,8834.8701171875,8834.8701171875,3595520000
8883.009765625,9032.8798828125,8813.919921875,8873.759765625,8873.759765625,3587950000
8632.5400390625,8786.6796875,8430.5302734375,8436.669921875,8436.669921875,4559900000
8133.85009765625,8490.4697265625,8133.85009765625,8461.830078125,8461.830078125,5320020000
8569.91015625,8879.3896484375,8446.5,8877.98046875,8877.98046875,4249020000
8892.6796875,9000.4599609375,8516.580078125,8594.490234375,8594.490234375,4336700000
8745.6396484375,8952.1103515625,8669.759765625,8949.2802734375,8949.2802734375,3634760000
