Timestamp,Bid price,Ask price,Bid volume,Ask volume
2024.01.31 20:00:07:977,17267.865,17269.081,2.99999992421363E-05,0.000449999992270023
2024.01.31 20:00:08:028,17267.821,17269.325,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:08:136,17267.885,17269.001,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:08:186,17267.808,17269.214,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:08:290,17267.776,17269.269,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:08:392,17266.786,17268.236,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:08:444,17267.887,17269.358,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:08:599,17268.297,17269.779,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:08:649,17269.01,17270.535,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:08:751,17267.954,17269.381,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:09:053,17268.789,17270.079,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:09:155,17267.531,17268.992,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:09:506,17268.331,17269.869,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:09:657,17268.765,17270.28,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:09:808,17269.065,17270.579,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:09:959,17268.91,17270.469,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:10:110,17269.908,17271.346,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:10:160,17269.917,17271.315,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:10:211,17271.286,17272.713,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:10:261,17269.475,17270.979,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:10:362,17268.575,17270.069,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:10:563,17268.497,17269.902,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:10:713,17270.086,17271.524,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:10:965,17271.486,17272.957,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:11:116,17271.297,17272.747,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:11:216,17269.997,17271.414,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:11:367,17270.375,17271.825,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:11:468,17269.421,17270.892,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:11:619,17270.309,17271.736,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:11:820,17269.975,17271.201,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:11:971,17270.309,17271.725,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:12:121,17269.297,17270.691,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:12:222,17267.599,17268.813,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:12:373,17267.531,17268.992,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:12:524,17267.776,17269.213,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:12:675,17267.609,17269.047,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:12:826,17266.343,17267.89,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:12:976,17265.431,17266.892,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:13:127,17264.854,17266.292,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:13:278,17265.298,17266.294,2.99999992421363E-05,0.000449999992270023
2024.01.31 20:00:13:329,17265.232,17266.511,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:13:630,17265.909,17267.292,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:13:781,17265.742,17267.247,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:13:932,17266.254,17267.736,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:14:082,17266.01,17267.513,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:14:283,17266.809,17268.202,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:14:384,17265.843,17267.314,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:14:685,17266.053,17267.546,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:14:786,17265.499,17266.768,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:14:886,17266.298,17267.768,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:15:037,17265.419,17266.846,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:15:188,17264.597,17266.069,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:15:338,17265.021,17266.536,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:15:489,17264.732,17266.247,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:15:640,17263.854,17265.281,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:15:941,17264.086,17265.524,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:16:041,17263.065,17264.535,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:16:092,17261.942,17263.48,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:16:243,17262.72,17264.257,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:16:344,17262.498,17263.968,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:16:445,17263.331,17264.836,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:16:647,17264.286,17265.703,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:16:748,17263.321,17264.858,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:16:899,17263.199,17264.49,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:17:056,17263.299,17264.568,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:17:164,17262.097,17263.502,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:17:316,17262.276,17263.79,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:17:366,17263.098,17264.311,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:17:468,17262.108,17263.557,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:17:619,17262.876,17264.313,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:17:820,17263.764,17265.192,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:17:923,17262.842,17264.325,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:17:974,17261.921,17263.48,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:18:125,17261.819,17263.279,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:18:284,17259.809,17261.011,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:18:336,17258.853,17260.39,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:18:488,17260.543,17262.058,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:18:639,17261.289,17262.301,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:18:940,17260.531,17261.801,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:19:091,17261.297,17262.746,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:19:242,17260.364,17261.813,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:19:393,17259.789,17261.024,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:19:694,17259.254,17260.501,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:19:795,17258.309,17259.725,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:19:946,17258.065,17259.59,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:19:996,17256.976,17258.435,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:20:097,17257.519,17258.979,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:20:248,17259.497,17260.936,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:20:298,17259.232,17260.78,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:20:449,17258.821,17260.111,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:20:600,17259.289,17260.525,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:20:752,17259.764,17261.258,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:20:853,17258.454,17259.902,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:21:004,17259.31,17260.611,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:21:205,17259.076,17260.557,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:21:356,17259.386,17260.803,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:21:607,17260.909,17262.39,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:21:708,17260.008,17261.479,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:21:909,17261.087,17262.546,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:22:059,17262.486,17263.947,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:22:161,17264.287,17265.501,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:22:212,17265.265,17266.713,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:22:263,17266.386,17267.846,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:22:313,17265.487,17266.924,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:22:364,17266.321,17267.813,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:22:515,17265.92,17267.392,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:22:666,17265.743,17267.258,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:22:866,17266.289,17267.535,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:23:017,17265.865,17267.335,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:23:167,17265.954,17267.435,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:23:268,17265.086,17266.557,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:23:369,17265.998,17267.381,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:23:470,17267.232,17268.757,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:23:620,17267.343,17268.813,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:23:871,17268.243,17269.747,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:24:022,17268.554,17270.079,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:24:072,17269.508,17270.958,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:24:173,17268.587,17270.035,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:24:324,17268.497,17269.98,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:24:474,17267.942,17269.403,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:24:625,17269.108,17270.514,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:24:776,17268.965,17270.381,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:24:927,17267.91,17269.458,0.000449999992270023,0.000449999992270023
2024.01.31 20:00:25:078,17267.776,17269.192,0.000449999992270023,0.000449999992270023
