Date,Open,High,Low,Close,Adj Close,Volume
2019-02-25,1016.059998,1018.210022,1014.419983,1015.840027,1015.840027,147797800
2019-02-26,1011.950012,1018.770020,1008.799988,1017.150024,1017.150024,157158600
2019-02-27,1013.039978,1014.950012,1010.989990,1013.869995,1013.869995,188875800
2019-02-28,1010.919983,1020.440002,1010.919983,1019.340027,1019.340027,243400800
2019-03-01,1024.900024,1028.430054,1023.799988,1025.260010,1025.260010,196138100
2019-03-04,1029.189941,1032.410034,1027.089966,1027.619995,1027.619995,143135100
2019-03-05,1027.699951,1030.900024,1023.880005,1029.660034,1029.660034,197663600
2019-03-06,1027.829956,1030.609985,1024.569946,1026.030029,1026.030029,188338100
2019-03-07,1024.199951,1029.079956,1017.940002,1021.460022,1021.460022,227026500
2019-03-08,1015.000000,1017.260010,1011.780029,1013.719971,1013.719971,213774300
2019-03-11,1017.690002,1020.940002,1014.280029,1020.479980,1020.479980,154549100
2019-03-12,1024.349976,1024.729980,1017.460022,1021.340027,1021.340027,166964800
2019-03-13,1019.780029,1028.189941,1019.630005,1027.579956,1027.579956,162275500
2019-03-14,1028.420044,1038.569946,1028.420044,1036.780029,1036.780029,175373400
2019-03-15,1037.329956,1049.219971,1037.160034,1047.250000,1047.250000,460962500
2019-03-18,1047.060059,1049.569946,1046.599976,1049.099976,1049.099976,165351200
2019-03-19,1048.579956,1056.729980,1048.349976,1053.209961,1053.209961,156825500
2019-03-20,1051.739990,1053.119995,1043.949951,1043.949951,1043.949951,177201500
2019-03-21,1043.829956,1047.060059,1039.270020,1045.020020,1045.020020,166174900
2019-03-22,1048.000000,1048.729980,1025.660034,1026.780029,1026.780029,221813300
2019-03-25,1016.210022,1026.640015,1016.210022,1023.130005,1023.130005,168679000
2019-03-26,1025.719971,1034.859985,1022.969971,1033.020020,1033.020020,149589000
2019-03-27,1034.300049,1040.079956,1028.469971,1033.430054,1033.430054,205048000
2019-03-28,1032.459961,1037.989990,1031.349976,1031.689941,1031.689941,154478000
2019-03-29,1038.329956,1043.180054,1036.030029,1042.479980,1042.479980,182212900
2019-04-01,1050.319946,1054.119995,1047.239990,1052.699951,1052.699951,168492000
2019-04-02,1054.020020,1058.890015,1053.699951,1056.930054,1056.930054,155146400
2019-04-03,1063.319946,1065.489990,1061.920044,1065.359985,1065.359985,188121100
2019-04-04,1063.719971,1066.729980,1061.750000,1064.640015,1064.640015,141684900
2019-04-05,1065.979980,1069.920044,1065.829956,1067.979980,1067.979980,160071800
2019-04-08,1066.619995,1069.469971,1064.699951,1066.319946,1066.319946,135239100
2019-04-09,1063.410034,1070.209961,1059.959961,1060.060059,1060.060059,146525300
2019-04-10,1060.949951,1065.819946,1060.540039,1063.920044,1063.920044,166791300
2019-04-11,1067.239990,1072.189941,1062.630005,1069.819946,1069.819946,170739600
2019-04-12,1068.520020,1073.500000,1067.540039,1072.630005,1072.630005,198467300
2019-04-15,1074.030029,1076.640015,1072.520020,1074.310059,1074.310059,143499900
2019-04-16,1075.089966,1078.699951,1073.880005,1078.140015,1078.140015,163231000
2019-04-17,1078.270020,1083.270020,1076.859985,1082.199951,1082.199951,195055300
2019-04-18,1079.510010,1089.060059,1077.069946,1085.969971,1085.969971,203265900
2019-04-23,1084.819946,1088.839966,1082.270020,1088.010010,1088.010010,192102700
2019-04-24,1085.630005,1088.150024,1081.910034,1084.410034,1084.410034,194803300
2019-04-25,1082.510010,1082.959961,1076.180054,1079.699951,1079.699951,158380300
2019-04-26,1079.709961,1082.770020,1077.069946,1081.939941,1081.939941,175799400
2019-04-29,1081.410034,1085.959961,1077.780029,1084.270020,1084.270020,145316500
2019-04-30,1081.939941,1086.579956,1080.380005,1086.579956,1086.579956,195737100
2019-05-02,1083.290039,1084.189941,1077.859985,1078.500000,1078.500000,189853200
2019-05-03,1077.839966,1083.500000,1077.239990,1080.239990,1080.239990,139657900
2019-05-06,1062.250000,1070.030029,1057.750000,1069.140015,1069.140015,143696000
2019-05-07,1066.510010,1070.310059,1051.599976,1052.900024,1052.900024,204632800
2019-05-08,1051.380005,1058.369995,1049.609985,1056.849976,1056.849976,180312000
2019-05-09,1047.880005,1048.760010,1036.119995,1037.709961,1037.709961,192430600
2019-05-10,1046.000000,1049.750000,1038.319946,1040.589966,1040.589966,171235900
2019-05-13,1041.319946,1041.780029,1025.270020,1027.699951,1027.699951,181960000
2019-05-14,1032.989990,1042.869995,1032.150024,1042.869995,1042.869995,178874400
2019-05-15,1044.540039,1049.040039,1034.739990,1049.040039,1049.040039,206652600
2019-05-16,1046.560059,1062.020020,1043.380005,1062.020020,1062.020020,189848500
2019-05-17,1057.900024,1061.560059,1052.469971,1059.020020,1059.020020,188643400
2019-05-20,1056.239990,1059.239990,1040.199951,1044.500000,1044.500000,182467300
2019-05-21,1046.729980,1051.290039,1043.540039,1048.969971,1048.969971,168319400
2019-05-22,1047.660034,1051.849976,1041.329956,1048.380005,1048.380005,155933600
